X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
236.48, 178.37, 227.12, -47.521000, -2.036000, -0.057000
245.43, 178.37, 227.12, -47.513000, -2.023000, -0.059000
254.38, 178.37, 227.12, -47.519000, -2.014000, -0.051000
263.33, 178.37, 227.12, -47.520000, -2.008000, -0.056000
272.27, 178.37, 227.12, -47.527000, -2.011000, -0.057000
281.22, 178.37, 227.12, -47.536000, -2.004000, -0.049000
290.17, 178.37, 227.12, -47.536000, -2.006000, -0.051000
299.11, 178.37, 227.12, -47.552000, -2.007000, -0.043000
308.06, 169.43, 227.12, -47.561000, -1.989000, -0.061000
299.11, 169.43, 227.12, -47.560000, -1.993000, -0.075000
290.17, 169.43, 227.12, -47.550000, -2.002000, -0.069000
281.22, 169.43, 227.12, -47.541000, -2.006000, -0.077000
272.27, 169.43, 227.12, -47.536000, -2.004000, -0.067000
263.33, 169.43, 227.12, -47.531000, -2.012000, -0.062000
254.38, 169.43, 227.12, -47.523000, -2.008000, -0.073000
245.43, 169.43, 227.12, -47.520000, -2.022000, -0.062000
236.48, 169.43, 227.12, -47.519000, -2.019000, -0.069000
227.54, 169.43, 227.12, -47.522000, -2.028000, -0.073000
218.59, 169.43, 227.12, -47.522000, -2.035000, -0.059000
209.64, 169.43, 227.12, -47.529000, -2.038000, -0.080000
200.69, 169.43, 227.12, -47.533000, -2.041000, -0.082000
191.75, 169.43, 227.12, -47.542000, -2.049000, -0.085000
182.80, 169.43, 227.12, -47.553000, -2.053000, -0.076000
173.85, 169.43, 227.12, -47.560000, -2.052000, -0.073000
164.90, 160.48, 227.12, -47.575000, -2.061000, -0.070000
173.85, 160.48, 227.12, -47.577000, -2.049000, -0.070000
182.80, 160.48, 227.12, -47.565000, -2.053000, -0.064000
191.75, 160.48, 227.12, -47.558000, -2.048000, -0.069000
200.69, 160.48, 227.12, -47.545000, -2.042000, -0.074000
209.64, 160.48, 227.12, -47.537000, -2.037000, -0.074000
218.59, 160.48, 227.12, -47.530000, -2.033000, -0.064000
227.54, 160.48, 227.12, -47.528000, -2.035000, -0.069000
236.48, 160.48, 227.12, -47.524000, -2.024000, -0.067000
245.43, 160.48, 227.12, -47.524000, -2.029000, -0.065000
