# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
311.030,136.430,225.800,-47.5440,-0.8210,1.9870,47.5930
300.370,136.430,225.800,-47.5700,-0.8210,1.9990,47.6190
289.700,136.430,225.800,-47.5500,-0.8300,2.0060,47.5980
279.030,136.430,225.800,-47.5390,-0.8330,2.0110,47.5900
268.370,136.430,225.800,-47.5260,-0.8410,2.0130,47.5780
257.700,136.430,225.800,-47.5200,-0.8480,2.0130,47.5680
247.030,136.430,225.800,-47.5190,-0.8480,2.0110,47.5650
236.370,136.430,225.800,-47.5140,-0.8540,2.0100,47.5660
225.700,136.430,225.800,-47.5130,-0.8630,2.0100,47.5660
215.030,136.430,225.800,-47.5170,-0.8630,2.0130,47.5680
204.370,136.430,225.800,-47.5170,-0.8690,2.0120,47.5670
193.700,136.430,225.800,-47.5250,-0.8740,2.0060,47.5760
183.030,147.100,225.800,-47.5370,-0.8710,2.0090,47.5860
193.700,147.100,225.800,-47.5420,-0.8770,2.0040,47.5950
204.370,147.100,225.800,-47.5360,-0.8720,2.0030,47.5830
215.030,147.100,225.800,-47.5240,-0.8740,2.0070,47.5720
225.700,147.100,225.800,-47.5190,-0.8610,2.0050,47.5680
236.370,147.100,225.800,-47.5150,-0.8680,2.0120,47.5660
247.030,147.100,225.800,-47.5100,-0.8590,2.0120,47.5610
257.700,147.100,225.800,-47.5130,-0.8600,2.0150,47.5600
268.370,147.100,225.800,-47.5200,-0.8530,2.0200,47.5700
279.030,147.100,225.800,-47.5250,-0.8460,2.0200,47.5750
289.700,147.100,225.800,-47.5330,-0.8420,2.0210,47.5830
300.370,147.100,225.800,-47.5410,-0.8350,2.0200,47.5910
300.370,157.770,225.800,-47.5580,-0.8250,2.0190,47.6080
289.700,157.770,225.800,-47.5570,-0.8300,2.0420,47.6080
279.030,157.770,225.800,-47.5410,-0.8310,2.0420,47.5950
268.370,157.770,225.800,-47.5260,-0.8420,2.0390,47.5750
257.700,157.770,225.800,-47.5220,-0.8420,2.0390,47.5720
