# COSI2 B0 scan,,,,,,
# time 2024-05-23 10:02:34.516565,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
268.37,93.77,236.47,-47.644,-0.903,1.978,47.695
257.7,93.77,236.47,-47.649,-0.916,1.981,47.699
247.03,93.77,236.47,-47.651,-0.936,1.982,47.703
236.37,93.77,236.47,-47.66,-0.944,1.986,47.708
225.7,93.77,236.47,-47.671,-0.962,1.99,47.722
215.03,93.77,236.47,-47.679,-0.977,1.986,47.73
204.37,93.77,236.47,-47.699,-0.993,1.986,47.748
204.37,83.1,236.47,-47.691,-1,2.004,47.744
215.03,83.1,236.47,-47.676,-0.983,1.995,47.728
225.7,83.1,236.47,-47.669,-0.97,1.991,47.72
236.37,83.1,236.47,-47.657,-0.952,1.983,47.707
247.03,83.1,236.47,-47.643,-0.939,1.984,47.693
257.7,83.1,236.47,-47.648,-0.923,1.984,47.697
268.37,83.1,236.47,-47.64,-0.912,1.974,47.688
279.03,83.1,236.47,-47.642,-0.898,1.971,47.69
257.7,72.43,236.47,-47.638,-0.929,1.989,47.693
247.03,72.43,236.47,-47.647,-0.944,1.985,47.696
215.03,61.77,247.13,-47.69,-0.989,1.996,47.747
225.7,61.77,247.13,-47.678,-0.978,1.994,47.73
236.37,61.77,247.13,-47.665,-0.959,1.988,47.714
247.03,61.77,247.13,-47.654,-0.949,1.985,47.707
257.7,61.77,247.13,-47.645,-0.928,1.981,47.695
268.37,61.77,247.13,-47.649,-0.915,1.974,47.696
289.7,72.43,247.13,-47.649,-0.887,1.959,47.699
279.03,72.43,247.13,-47.641,-0.898,1.966,47.69
268.37,72.43,247.13,-47.648,-0.913,1.969,47.697
257.7,72.43,247.13,-47.655,-0.932,1.976,47.708
247.03,72.43,247.13,-47.658,-0.941,1.981,47.712
236.37,72.43,247.13,-47.666,-0.958,1.989,47.716
225.7,72.43,247.13,-47.68,-0.966,1.992,47.732
215.03,72.43,247.13,-47.696,-0.983,1.993,47.746
193.7,83.1,247.13,-47.726,-1.014,1.985,47.779
204.37,83.1,247.13,-47.708,-0.995,1.986,47.76
215.03,83.1,247.13,-47.689,-0.976,1.984,47.741
225.7,83.1,247.13,-47.681,-0.959,1.98,47.732
236.37,83.1,247.13,-47.678,-0.958,1.981,47.727
247.03,83.1,247.13,-47.664,-0.937,1.971,47.713
257.7,83.1,247.13,-47.655,-0.922,1.971,47.705
268.37,83.1,247.13,-47.651,-0.91,1.97,47.7
279.03,83.1,247.13,-47.649,-0.895,1.961,47.701
289.7,83.1,247.13,-47.654,-0.886,1.958,47.702
311.03,93.77,247.13,-47.668,-0.857,1.954,47.718
300.37,93.77,247.13,-47.668,-0.867,1.952,47.714
289.7,93.77,247.13,-47.663,-0.883,1.961,47.711
279.03,93.77,247.13,-47.655,-0.891,1.967,47.707
268.37,93.77,247.13,-47.656,-0.902,1.968,47.708
257.7,93.77,247.13,-47.659,-0.917,1.974,47.71
247.03,93.77,247.13,-47.669,-0.931,1.972,47.719
236.37,93.77,247.13,-47.67,-0.941,1.973,47.721
