# COSI2 B0 scan
# time 2024-05-23 10:02:34.516565
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,168.430,225.800,-47.6090,-0.9010,1.9980,47.6600
268.370,168.430,225.800,-47.6130,-0.8920,2.0150,47.6610
279.030,168.430,225.800,-47.6190,-0.8830,2.0180,47.6700
289.700,168.430,225.800,-47.6200,-0.8760,2.0270,47.6700
289.700,179.100,225.800,-47.6270,-0.8630,2.0370,47.6780
279.030,179.100,225.800,-47.6190,-0.8660,2.0550,47.6730
268.370,179.100,225.800,-47.6120,-0.8710,2.0460,47.6640
257.700,179.100,225.800,-47.6070,-0.8870,2.0320,47.6570
247.030,179.100,225.800,-47.5950,-0.8890,2.0140,47.6430
236.370,179.100,225.800,-47.6000,-0.8980,2.0050,47.6540
225.700,179.100,225.800,-47.6100,-0.9030,1.9930,47.6570
215.030,179.100,225.800,-47.6090,-0.9080,1.9770,47.6610
225.700,189.770,225.800,-47.6180,-0.9220,1.9720,47.6720
236.370,189.770,225.800,-47.5950,-0.9150,1.9830,47.6460
247.030,189.770,225.800,-47.5900,-0.9000,1.9980,47.6410
257.700,189.770,225.800,-47.5850,-0.8920,2.0070,47.6380
236.370,211.100,236.470,-47.5880,-0.8880,2.0170,47.6390
247.030,211.100,236.470,-47.5720,-0.8930,1.9800,47.6220
289.700,200.430,236.470,-47.5640,-0.8880,2.0000,47.6150
279.030,200.430,236.470,-47.5970,-0.8580,2.0680,47.6530
268.370,200.430,236.470,-47.5880,-0.8650,2.0500,47.6400
257.700,200.430,236.470,-47.5830,-0.8750,2.0330,47.6370
247.030,200.430,236.470,-47.5890,-0.8820,2.0160,47.6400
236.370,200.430,236.470,-47.5860,-0.8850,2.0000,47.6370
225.700,200.430,236.470,-47.5900,-0.8970,1.9890,47.6380
215.030,200.430,236.470,-47.5950,-0.8990,1.9760,47.6430
193.700,189.770,236.470,-47.6020,-0.9060,1.9550,47.6480
204.370,189.770,236.470,-47.6390,-0.9320,1.9260,47.6870
215.030,189.770,236.470,-47.6250,-0.9240,1.9430,47.6750
225.700,189.770,236.470,-47.6200,-0.9100,1.9570,47.6690
236.370,189.770,236.470,-47.6060,-0.9090,1.9710,47.6550
247.030,189.770,236.470,-47.6010,-0.8960,1.9860,47.6510
257.700,189.770,236.470,-47.5950,-0.8860,2.0030,47.6450
268.370,189.770,236.470,-47.5910,-0.8840,2.0090,47.6450
279.030,189.770,236.470,-47.5930,-0.8760,2.0310,47.6470
289.700,189.770,236.470,-47.6070,-0.8700,2.0450,47.6610
311.030,179.100,236.470,-47.6180,-0.8600,2.0620,47.6700
300.370,179.100,236.470,-47.6580,-0.8470,2.0760,47.7100
289.700,179.100,236.470,-47.6440,-0.8600,2.0700,47.6950
279.030,179.100,236.470,-47.6310,-0.8620,2.0460,47.6810
268.370,179.100,236.470,-47.6180,-0.8710,2.0370,47.6690
257.700,179.100,236.470,-47.6100,-0.8790,2.0250,47.6630
247.030,179.100,236.470,-47.6080,-0.8860,2.0130,47.6600
236.370,179.100,236.470,-47.6130,-0.8970,1.9960,47.6630
225.700,179.100,236.470,-47.6120,-0.9020,1.9850,47.6610
215.030,179.100,236.470,-47.6220,-0.9070,1.9690,47.6740
204.370,179.100,236.470,-47.6320,-0.9160,1.9580,47.6790
193.700,179.100,236.470,-47.6470,-0.9360,1.9450,47.6960
183.030,168.430,236.470,-47.6570,-0.9390,1.9320,47.7030
193.700,168.430,236.470,-47.6840,-0.9640,1.9300,47.7300
204.370,168.430,236.470,-47.6660,-0.9510,1.9360,47.7150
215.030,168.430,236.470,-47.6490,-0.9400,1.9420,47.6980
225.700,168.430,236.470,-47.6380,-0.9290,1.9560,47.6880
236.370,168.430,236.470,-47.6320,-0.9180,1.9650,47.6860
247.030,168.430,236.470,-47.6260,-0.9060,1.9840,47.6760
257.700,168.430,236.470,-47.6270,-0.8980,1.9860,47.6780
268.370,168.430,236.470,-47.6260,-0.8900,2.0040,47.6750
279.030,168.430,236.470,-47.6240,-0.8830,2.0150,47.6740
289.700,168.430,236.470,-47.6330,-0.8710,2.0250,47.6840
300.370,168.430,236.470,-47.6400,-0.8650,2.0330,47.6890
311.030,157.770,236.470,-47.6510,-0.8600,2.0400,47.7020
300.370,157.770,236.470,-47.6680,-0.8490,2.0260,47.7180
289.700,157.770,236.470,-47.6570,-0.8600,2.0290,47.7060
279.030,157.770,236.470,-47.6460,-0.8670,2.0200,47.6970
268.370,157.770,236.470,-47.6390,-0.8800,2.0150,47.6910
257.700,157.770,236.470,-47.6300,-0.8870,2.0100,47.6860
247.030,157.770,236.470,-47.6360,-0.8960,2.0000,47.6860
236.370,157.770,236.470,-47.6350,-0.9040,1.9910,47.6850
225.700,157.770,236.470,-47.6380,-0.9130,1.9810,47.6890
215.030,157.770,236.470,-47.6410,-0.9160,1.9690,47.6940
204.370,157.770,236.470,-47.6550,-0.9300,1.9670,47.7040
193.700,157.770,236.470,-47.6590,-0.9470,1.9510,47.7110
172.370,147.100,236.470,-47.6790,-0.9550,1.9440,47.7280
183.030,147.100,236.470,-47.7120,-0.9910,1.9340,47.7630
193.700,147.100,236.470,-47.6970,-0.9810,1.9430,47.7470
204.370,147.100,236.470,-47.6830,-0.9640,1.9430,47.7320
215.030,147.100,236.470,-47.6740,-0.9520,1.9550,47.7190
225.700,147.100,236.470,-47.6600,-0.9450,1.9640,47.7100
236.370,147.100,236.470,-47.6490,-0.9280,1.9720,47.7010
247.030,147.100,236.470,-47.6470,-0.9190,1.9730,47.6990
257.700,147.100,236.470,-47.6420,-0.9120,1.9870,47.6910
268.370,147.100,236.470,-47.6400,-0.9010,1.9940,47.6930
279.030,147.100,236.470,-47.6450,-0.8870,1.9980,47.6960
289.700,147.100,236.470,-47.6490,-0.8770,2.0060,47.7010
300.370,147.100,236.470,-47.6450,-0.8700,2.0040,47.6970
311.030,147.100,236.470,-47.6590,-0.8550,2.0110,47.7130
321.700,136.430,236.470,-47.6760,-0.8520,2.0120,47.7260
311.030,136.430,236.470,-47.6830,-0.8400,1.9970,47.7320
300.370,136.430,236.470,-47.6730,-0.8510,2.0030,47.7160
289.700,136.430,236.470,-47.6640,-0.8590,2.0040,47.7140
279.030,136.430,236.470,-47.6570,-0.8700,1.9990,47.7030
268.370,136.430,236.470,-47.6470,-0.8790,1.9960,47.6960
257.700,136.430,236.470,-47.6440,-0.8940,1.9930,47.6940
247.030,136.430,236.470,-47.6450,-0.9030,1.9930,47.6930
236.370,136.430,236.470,-47.6470,-0.9100,1.9870,47.7010
225.700,136.430,236.470,-47.6500,-0.9260,1.9820,47.7000
215.030,136.430,236.470,-47.6590,-0.9300,1.9710,47.7090
204.370,136.430,236.470,-47.6690,-0.9480,1.9690,47.7180
193.700,136.430,236.470,-47.6810,-0.9560,1.9630,47.7310
183.030,136.430,236.470,-47.6920,-0.9730,1.9520,47.7470
183.030,125.770,236.470,-47.7080,-0.9890,1.9470,47.7590
193.700,125.770,236.470,-47.7060,-0.9980,1.9480,47.7580
204.370,125.770,236.470,-47.7010,-0.9820,1.9660,47.7520
215.030,125.770,236.470,-47.6830,-0.9650,1.9620,47.7320
225.700,125.770,236.470,-47.6710,-0.9570,1.9720,47.7210
236.370,125.770,236.470,-47.6680,-0.9400,1.9750,47.7180
247.030,125.770,236.470,-47.6560,-0.9370,1.9820,47.7070
257.700,125.770,236.470,-47.6490,-0.9180,1.9830,47.6980
268.370,125.770,236.470,-47.6540,-0.9060,1.9860,47.7010
279.030,125.770,236.470,-47.6480,-0.9010,1.9850,47.6980
289.700,125.770,236.470,-47.6540,-0.8820,1.9840,47.7010
300.370,125.770,236.470,-47.6540,-0.8780,1.9880,47.7010
311.030,115.100,236.470,-47.6590,-0.8610,1.9840,47.7090
300.370,115.100,236.470,-47.6640,-0.8490,1.9760,47.7120
