# COSI2 B0 scan
# time 2024-05-24 16:38:32.224152
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/slow_ball_90mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
297.210,141.210,208.720,-47.4970,-0.8030,-1.1640,47.5190
306.680,141.210,208.720,-47.5040,-0.8020,-1.1670,47.5250
306.680,150.680,208.720,-47.5120,-0.7830,-1.1710,47.5350
297.210,150.680,208.720,-47.5200,-0.7920,-1.1680,47.5410
287.730,150.680,208.720,-47.5130,-0.7900,-1.1480,47.5390
278.260,150.680,208.720,-47.5040,-0.8000,-1.1510,47.5250
268.780,150.680,208.720,-47.4940,-0.8040,-1.1510,47.5150
259.310,150.680,208.720,-47.4920,-0.8100,-1.1540,47.5130
249.840,150.680,208.720,-47.4800,-0.8120,-1.1550,47.4960
240.360,150.680,208.720,-47.4860,-0.8150,-1.1610,47.5030
230.890,150.680,208.720,-47.4830,-0.8210,-1.1650,47.5050
221.420,150.680,208.720,-47.4840,-0.8260,-1.1700,47.5060
211.940,150.680,208.720,-47.4870,-0.8260,-1.1770,47.5100
202.470,150.680,208.720,-47.4990,-0.8280,-1.1740,47.5200
192.990,160.160,208.720,-47.5090,-0.8390,-1.1850,47.5310
202.470,160.160,208.720,-47.5130,-0.8430,-1.1850,47.5330
211.940,160.160,208.720,-47.5120,-0.8410,-1.1880,47.5340
221.420,160.160,208.720,-47.4980,-0.8340,-1.1820,47.5250
230.890,160.160,208.720,-47.4900,-0.8340,-1.1810,47.5140
240.360,160.160,208.720,-47.4850,-0.8300,-1.1750,47.5040
249.840,160.160,208.720,-47.4820,-0.8290,-1.1710,47.5030
259.310,160.160,208.720,-47.4790,-0.8200,-1.1630,47.4970
268.780,160.160,208.720,-47.4780,-0.8130,-1.1550,47.4990
278.260,160.160,208.720,-47.4830,-0.8100,-1.1560,47.4990
287.730,160.160,208.720,-47.4880,-0.8030,-1.1410,47.5070
297.210,160.160,208.720,-47.4930,-0.7930,-1.1360,47.5110
297.210,169.630,208.720,-47.5030,-0.7950,-1.1410,47.5240
287.730,169.630,208.720,-47.5080,-0.7920,-1.1260,47.5250
278.260,169.630,208.720,-47.4950,-0.7920,-1.1250,47.5150
268.780,169.630,208.720,-47.4890,-0.8040,-1.1290,47.5090
259.310,169.630,208.720,-47.4820,-0.8030,-1.1350,47.5020
249.840,169.630,208.720,-47.4740,-0.8070,-1.1440,47.4950
240.360,169.630,208.720,-47.4740,-0.8140,-1.1500,47.4990
230.890,169.630,208.720,-47.4660,-0.8160,-1.1570,47.4910
221.420,169.630,208.720,-47.4730,-0.8220,-1.1640,47.4910
211.940,169.630,208.720,-47.4750,-0.8240,-1.1700,47.4970
211.940,179.110,208.720,-47.4830,-0.8280,-1.1790,47.5050
221.420,179.110,208.720,-47.4800,-0.8290,-1.1840,47.5070
230.890,179.110,208.720,-47.4710,-0.8290,-1.1800,47.4930
240.360,179.110,208.720,-47.4690,-0.8230,-1.1650,47.4890
249.840,179.110,208.720,-47.4600,-0.8200,-1.1580,47.4810
259.310,179.110,208.720,-47.4640,-0.8160,-1.1500,47.4840
268.780,179.110,208.720,-47.4630,-0.8100,-1.1480,47.4820
278.260,179.110,208.720,-47.4680,-0.8010,-1.1310,47.4880
268.780,188.580,208.720,-47.4720,-0.8050,-1.1200,47.4890
259.310,188.580,208.720,-47.4650,-0.7970,-1.1210,47.4900
249.840,188.580,208.720,-47.4520,-0.8030,-1.1290,47.4730
240.360,188.580,208.720,-47.4520,-0.8130,-1.1390,47.4720
268.780,207.530,218.190,-47.4510,-0.8160,-1.1530,47.4730
259.310,207.530,218.190,-47.4460,-0.8100,-1.1480,47.4670
249.840,207.530,218.190,-47.4410,-0.7930,-1.1190,47.4650
240.360,207.530,218.190,-47.4370,-0.7970,-1.1320,47.4590
211.940,198.050,218.190,-47.4420,-0.8020,-1.1440,47.4620
221.420,198.050,218.190,-47.4380,-0.8140,-1.1530,47.4570
230.890,198.050,218.190,-47.4580,-0.8280,-1.1910,47.4750
240.360,198.050,218.190,-47.4560,-0.8160,-1.1810,47.4790
249.840,198.050,218.190,-47.4500,-0.8170,-1.1700,47.4740
259.310,198.050,218.190,-47.4470,-0.8120,-1.1570,47.4730
268.780,198.050,218.190,-47.4510,-0.8030,-1.1420,47.4700
278.260,198.050,218.190,-47.4510,-0.8020,-1.1250,47.4710
297.210,188.580,218.190,-47.4620,-0.7880,-1.1060,47.4810
287.730,188.580,218.190,-47.4700,-0.7830,-1.1000,47.4890
278.260,188.580,218.190,-47.4880,-0.7850,-1.0890,47.5070
268.780,188.580,218.190,-47.4750,-0.7880,-1.1020,47.4960
259.310,188.580,218.190,-47.4680,-0.7940,-1.1170,47.4870
249.840,188.580,218.190,-47.4630,-0.8030,-1.1350,47.4810
240.360,188.580,218.190,-47.4620,-0.8080,-1.1410,47.4820
230.890,188.580,218.190,-47.4590,-0.8100,-1.1520,47.4800
221.420,188.580,218.190,-47.4590,-0.8140,-1.1620,47.4760
211.940,188.580,218.190,-47.4630,-0.8150,-1.1810,47.4850
192.990,179.110,218.190,-47.4690,-0.8240,-1.1860,47.4910
202.470,179.110,218.190,-47.4850,-0.8330,-1.1960,47.5070
211.940,179.110,218.190,-47.5090,-0.8280,-1.2050,47.5350
221.420,179.110,218.190,-47.4940,-0.8290,-1.1930,47.5180
230.890,179.110,218.190,-47.4780,-0.8240,-1.1850,47.5030
240.360,179.110,218.190,-47.4760,-0.8220,-1.1740,47.4980
249.840,179.110,218.190,-47.4680,-0.8130,-1.1610,47.4930
259.310,179.110,218.190,-47.4690,-0.8130,-1.1500,47.4920
268.780,179.110,218.190,-47.4660,-0.8080,-1.1530,47.4870
278.260,179.110,218.190,-47.4790,-0.8030,-1.1320,47.4980
287.730,179.110,218.190,-47.4810,-0.7980,-1.1220,47.5010
297.210,179.110,218.190,-47.4920,-0.7950,-1.1180,47.5100
316.150,169.630,218.190,-47.5010,-0.7920,-1.1010,47.5180
306.680,169.630,218.190,-47.5200,-0.7880,-1.1020,47.5400
297.210,169.630,218.190,-47.5420,-0.7770,-1.1190,47.5620
287.730,169.630,218.190,-47.5240,-0.7830,-1.1170,47.5430
278.260,169.630,218.190,-47.5100,-0.7950,-1.1220,47.5310
268.780,169.630,218.190,-47.4960,-0.7990,-1.1320,47.5140
259.310,169.630,218.190,-47.4860,-0.8030,-1.1370,47.5030
249.840,169.630,218.190,-47.4830,-0.8090,-1.1470,47.5040
240.360,169.630,218.190,-47.4780,-0.8140,-1.1540,47.4970
230.890,169.630,218.190,-47.4820,-0.8130,-1.1600,47.4990
221.420,169.630,218.190,-47.4770,-0.8220,-1.1710,47.4990
211.940,169.630,218.190,-47.4820,-0.8190,-1.1720,47.5020
202.470,169.630,218.190,-47.4890,-0.8210,-1.1810,47.5100
192.990,169.630,218.190,-47.5040,-0.8260,-1.1860,47.5190
183.520,160.160,218.190,-47.5140,-0.8370,-1.1970,47.5360
192.990,160.160,218.190,-47.5270,-0.8400,-1.1980,47.5500
202.470,160.160,218.190,-47.5320,-0.8380,-1.1930,47.5540
211.940,160.160,218.190,-47.5130,-0.8350,-1.1980,47.5370
221.420,160.160,218.190,-47.5030,-0.8340,-1.1850,47.5250
230.890,160.160,218.190,-47.4930,-0.8250,-1.1800,47.5130
240.360,160.160,218.190,-47.4850,-0.8250,-1.1750,47.5100
249.840,160.160,218.190,-47.4830,-0.8200,-1.1670,47.5090
