# COSI2 B0 scan
# time 2024-05-27 11:31:47.630159
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x-y+z-_3s_delay
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
235.100,77.000,260.300,-47.5170,-0.8380,-2.2170,47.5760
215.100,77.000,260.300,-47.5340,-0.8450,-2.2020,47.5890
195.100,57.000,280.300,-47.5490,-0.8500,-2.1830,47.6110
215.100,57.000,280.300,-47.5580,-0.8520,-2.1890,47.6160
235.100,57.000,280.300,-47.5370,-0.8560,-2.2020,47.5950
255.100,57.000,280.300,-47.5210,-0.8610,-2.2130,47.5800
275.100,57.000,280.300,-47.5050,-0.8600,-2.2330,47.5650
295.100,57.000,280.300,-47.4970,-0.8490,-2.2450,47.5630
335.100,77.000,280.300,-47.4920,-0.8510,-2.2580,47.5530
315.100,77.000,280.300,-47.5010,-0.8100,-2.2980,47.5640
295.100,77.000,280.300,-47.5090,-0.8070,-2.2950,47.5730
275.100,77.000,280.300,-47.5100,-0.8220,-2.2740,47.5740
255.100,77.000,280.300,-47.5180,-0.8340,-2.2540,47.5760
235.100,77.000,280.300,-47.5300,-0.8400,-2.2410,47.5930
215.100,77.000,280.300,-47.5390,-0.8350,-2.2200,47.5980
195.100,77.000,280.300,-47.5530,-0.8420,-2.2020,47.6130
175.100,97.000,280.300,-47.5800,-0.8380,-2.1940,47.6370
195.100,97.000,280.300,-47.6100,-0.8330,-2.2030,47.6700
215.100,97.000,280.300,-47.5840,-0.8320,-2.2110,47.6430
235.100,97.000,280.300,-47.5630,-0.8330,-2.2130,47.6290
255.100,97.000,280.300,-47.5560,-0.8330,-2.2330,47.6120
275.100,97.000,280.300,-47.5520,-0.8240,-2.2550,47.6080
295.100,97.000,280.300,-47.5470,-0.8040,-2.2770,47.6080
315.100,97.000,280.300,-47.5360,-0.7920,-2.3100,47.5990
335.100,117.000,280.300,-47.5150,-0.7760,-2.3150,47.5780
315.100,117.000,280.300,-47.4710,-0.7160,-2.3510,47.5350
295.100,117.000,280.300,-47.5310,-0.7170,-2.3510,47.5980
275.100,117.000,280.300,-47.5660,-0.7450,-2.3260,47.6250
255.100,117.000,280.300,-47.5790,-0.7730,-2.2840,47.6430
235.100,117.000,280.300,-47.5810,-0.7960,-2.2550,47.6410
215.100,117.000,280.300,-47.5740,-0.8130,-2.2370,47.6330
195.100,117.000,280.300,-47.5800,-0.8160,-2.2140,47.6410
175.100,137.000,280.300,-47.5950,-0.8200,-2.2120,47.6580
