Keithley Instruments: Cyclic Voltammetry

System Parameters
Date/Time,Wed Jul 20 16:58:16 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0

General Parameters

Source Parameters
Source Range, 2
# of Vertices, 3, 
Vertex 1, -0.3, V
Vertex 2, 0.7, V
Vertex 3, -0.3, V
Vertex 4, 4, V
Source Rate, 50, mV/sec
# of Cycles, 200

Measure Parameters
Current Range, 0.01, A
Sampling Interval, 100, points/cycle
nplc, 0.95

Calculated Parameters
0.231,2.57045e-06, 130.521
0.251,2.75858e-06, 130.921
0.271,3.14042e-06, 131.321
0.291,3.88175e-06, 131.721
0.312,5.37559e-06, 132.141
0.332,7.97771e-06, 132.541
0.352,1.2286e-05, 132.941
0.372,1.85017e-05, 133.341
0.392,2.40188e-05, 133.741
0.413,2.10945e-05, 134.161
0.433,1.62404e-05, 134.561
0.453,1.32285e-05, 134.961
0.473,1.15447e-05, 135.361
0.493,1.04513e-05, 135.761
0.514,9.70438e-06, 136.181
0.534,9.68762e-06, 136.581
0.554,1.09486e-05, 136.981
0.574,1.35507e-05, 137.381
0.594,1.50651e-05, 137.781
0.615,1.46907e-05, 138.201
0.635,1.37258e-05, 138.601
0.655,1.27591e-05, 139.001
0.675,1.19638e-05, 139.401
0.695,1.13156e-05, 139.801
0.683,8.58493e-06, 140.221
0.663,7.30529e-06, 140.621
0.643,6.32741e-06, 141.021
0.623,5.36814e-06, 141.421
0.603,4.27291e-06, 141.821
0.582,2.95788e-06, 142.241
0.562,1.72295e-06, 142.641
0.542,8.17701e-07, 143.041
0.522,2.6077e-07, 143.441
0.502,-3.07336e-07, 143.841
0.481,-1.13994e-06, 144.261
0.461,-2.43634e-06, 144.661
0.441,-4.9267e-06, 145.061
0.421,-9.79193e-06, 145.461
0.401,-1.82856e-05, 145.861
0.38,-2.57157e-05, 146.281
0.36,-2.18041e-05, 146.681
0.34,-1.68923e-05, 147.081
0.32,-1.28895e-05, 147.481
0.3,-1.02818e-05, 147.881
0.279,-8.56817e-06, 148.301
0.259,-7.52509e-06, 148.701
0.239,-6.8415e-06, 149.101
0.219,-6.34417e-06, 149.501
0.199,-5.93998e-06, 149.901
0.178,-5.55255e-06, 150.321
0.158,-5.15953e-06, 150.721
0.138,-4.6771e-06, 151.121
0.118,-4.29899e-06, 151.521
0.098,-4.09409e-06, 151.921
0.077,-3.98047e-06, 152.341
0.057,-3.93204e-06, 152.741
0.037,-3.93204e-06, 153.141
0.017,-3.90969e-06, 153.541
-0.003,-3.76441e-06, 153.941
-0.024,-3.56138e-06, 154.361
-0.044,-3.39746e-06, 154.761
-0.064,-3.26708e-06, 155.161
-0.084,-3.14415e-06, 155.561
-0.104,-3.04542e-06, 155.961
-0.125,-2.997e-06, 156.381
-0.145,-3.07523e-06, 156.781
-0.165,-3.14973e-06, 157.181
-0.185,-3.14787e-06, 157.581
-0.205,-3.11807e-06, 157.981
-0.226,-3.06591e-06, 158.401
-0.246,-2.98768e-06, 158.801
-0.266,-2.91504e-06, 159.201
-0.286,-2.85544e-06, 159.601
-0.292,-2.55555e-06, 160.021
-0.272,-2.24076e-06, 160.421
-0.252,-2.02097e-06, 160.821
-0.232,-1.81608e-06, 161.221
-0.212,-1.57394e-06, 161.621
-0.191,-1.21631e-06, 162.041
-0.171,-6.70552e-07, 162.441
-0.151,1.8999e-07, 162.841
-0.131,1.47894e-06, 163.241
-0.111,3.25404e-06, 163.641
-0.09,4.78886e-06, 164.061
-0.07,3.27267e-06, 164.461
-0.05,1.76951e-06, 164.861
-0.03,1.66707e-06, 165.261
-0.01,1.71363e-06, 165.661
0.011,1.82539e-06, 166.081
0.031,2.03773e-06, 166.481
0.051,2.31527e-06, 166.881
0.071,2.5481e-06, 167.281
0.091,2.72878e-06, 167.681
0.112,2.88337e-06, 168.101
0.132,3.01003e-06, 168.501
0.152,3.10317e-06, 168.901
0.172,3.18885e-06, 169.301
0.192,3.19071e-06, 169.701
